时刻,排名,代码,名称,综合得分,选股涨跌,次日涨跌,胜负,主力净流入,主力占比,启动得分,资金得分,选中理由
112347,1,000100,TCL科技,0.8445,8.82,1.19,胜,862533168.0,11.44,0.868,0.986,主力大幅介入(超大单9.5亿) 资金加速涌入(今日占5日50%)
112347,2,002049,紫光国微,0.7343,3.36,0.77,胜,183740816.0,8.65,0.768,0.819,主力大幅介入(超大单1.3亿) 资金加速涌入(今日占5日49%)
112347,3,603936,博敏电子,0.7236,4.1,1.25,胜,121362515.0,10.52,0.731,0.759,主力大幅介入(超大单0.6亿) 板块刚启动(元件)
112347,4,603228,景旺电子,0.7079,3.01,-0.62,负,207113344.0,8.05,0.731,0.756,主力大幅介入(超大单0.9亿) 板块刚启动(元件)
112347,5,002456,欧菲光,0.6811,1.5,1.26,胜,88392792.0,10.25,0.518,0.733,主力持续流入(+8839万) 资金温和放量(光学光电子)
112347,6,002913,奥士康,0.6664,5.75,-2.56,负,35658668.0,6.85,0.681,0.627,主力持续流入(+3566万) 资金温和放量(元件)
112347,7,600584,长电科技,0.6625,5.32,0.99,胜,876171872.0,7.08,0.518,0.871,主力大幅介入(超大单6.8亿) 资金温和放量(半导体)
112347,8,603005,晶方科技,0.6606,2.94,1.32,胜,119184232.0,6.0,0.668,0.648,主力持续流入(+1.19亿) 资金温和放量(半导体)
112347,9,605111,新洁能,0.6294,5.99,0.8,胜,68682831.0,5.95,0.618,0.694,主力持续流入(+6868万) 资金温和放量(半导体)
112347,10,603738,泰晶科技,0.6009,7.21,-0.86,负,153207808.0,5.6,0.581,0.792,主力大幅介入(超大单1.5亿) 资金温和放量(元件)
114439,1,000100,TCL科技,0.8337,8.82,1.19,胜,862038624.0,11.42,0.868,1.0,主力大幅介入(超大单9.5亿) 资金加速涌入(今日占5日50%)
114439,2,603228,景旺电子,0.7448,2.99,-0.61,负,207894320.0,8.06,0.732,0.751,主力大幅介入(超大单0.9亿) 板块刚启动(元件)
114439,3,603936,博敏电子,0.7166,3.9,1.44,胜,120821158.0,10.46,0.732,0.784,主力大幅介入(超大单0.6亿) 板块刚启动(元件)
114439,4,002484,江海股份,0.7071,9.03,0.89,胜,419504272.0,8.87,0.582,0.927,主力大幅介入(超大单4.7亿) 资金温和放量(元件)
114439,5,002456,欧菲光,0.6424,1.5,1.26,胜,88392792.0,10.25,0.518,0.754,主力大幅介入(超大单0.6亿) 资金温和放量(光学光电子)
114439,6,002913,奥士康,0.6018,5.49,-2.32,负,35651718.0,6.84,0.682,0.651,主力持续流入(+3565万) 资金温和放量(元件)
114439,7,002138,顺络电子,0.5863,3.33,4.36,胜,103790624.0,4.1,0.432,0.76,主力大幅介入(超大单1.4亿) 
114439,8,603738,泰晶科技,0.558,7.15,-0.81,负,152910352.0,5.58,0.582,0.829,主力大幅介入(超大单1.5亿) 资金温和放量(元件)
114439,9,002552,宝鼎科技,0.5423,1.65,0.14,胜,49933155.0,4.72,0.482,0.535,温和启动(涨1.6%) 
114439,10,603459,红板科技,0.5113,4.11,0.54,胜,45169698.0,3.68,0.482,0.491,综合评分入选 
134055,1,002456,欧菲光,0.7112,2.88,-0.1,负,177124391.0,15.18,0.866,0.85,主力大幅介入(超大单1.6亿) 板块刚启动(光学光电子)
134055,2,002049,紫光国微,0.6861,4.11,0.05,胜,132596432.0,5.38,0.738,0.745,主力持续流入(+1.33亿) 资金加速涌入(今日占5日41%)
134055,3,603228,景旺电子,0.6831,2.35,0.01,胜,201858464.0,6.43,0.726,0.749,主力持续流入(+2.02亿) 板块刚启动(元件)
134055,4,603936,博敏电子,0.6514,5.08,0.3,胜,151103097.0,10.87,0.726,0.78,主力大幅介入(超大单0.8亿) 板块刚启动(元件)
134055,5,002185,华天科技,0.6292,6.06,0.79,胜,448086512.0,6.35,0.638,0.841,主力大幅介入(超大单3.2亿) 资金温和放量(半导体)
134055,6,003019,宸展光电,0.6264,5.79,-0.14,负,32686609.0,11.26,0.866,0.636,主力持续流入(+3269万) 板块刚启动(光学光电子)
134055,7,002913,奥士康,0.5958,3.72,-0.66,负,37773105.0,6.04,0.676,0.659,主力持续流入(+3777万) 资金温和放量(元件)
134055,8,603005,晶方科技,0.5806,3.57,0.7,胜,94949712.0,3.98,0.638,0.625,主力持续流入(+9495万) 资金温和放量(半导体)
134055,9,002745,木林森,0.5642,4.7,2.34,胜,31844011.0,3.34,0.516,0.529,资金温和放量(光学光电子) 温和启动(涨4.7%)
134055,10,600584,长电科技,0.5607,6.34,0.01,胜,823941408.0,5.81,0.488,0.839,主力大幅介入(超大单5.8亿) 温和启动(涨6.3%)
140233,1,002456,欧菲光,0.6877,2.88,-0.1,负,183854099.0,14.97,0.868,0.85,主力大幅介入(超大单1.6亿) 板块刚启动(光学光电子)
140233,2,603228,景旺电子,0.6775,1.86,0.5,胜,219975536.0,6.51,0.73,0.764,主力大幅介入(超大单1.5亿) 板块刚启动(元件)
140233,3,603936,博敏电子,0.6546,4.45,0.91,胜,154697770.0,10.75,0.73,0.769,主力大幅介入(超大单0.8亿) 板块刚启动(元件)
140233,4,003019,宸展光电,0.6299,5.79,-0.14,负,32496165.0,9.88,0.868,0.578,主力持续流入(+3250万) 板块刚启动(光学光电子)
140233,5,002049,紫光国微,0.6219,3.75,0.39,胜,119671152.0,4.6,0.738,0.726,主力持续流入(+1.20亿) 板块刚启动(半导体)
140233,6,002077,大港股份,0.5282,3.93,0.23,胜,49220182.0,9.08,0.738,0.7,主力持续流入(+4922万) 资金加速涌入(今日占5日47%)
140233,7,605111,新洁能,0.5085,6.54,0.27,胜,97430131.0,6.43,0.488,0.697,主力持续流入(+9743万) 
140233,8,600584,长电科技,0.4979,5.85,0.48,胜,765466544.0,5.17,0.488,0.811,主力大幅介入(超大单5.4亿) 
140233,9,002156,通富微电,0.4888,6.61,-0.1,负,483546208.0,4.8,0.388,0.739,主力持续流入(+4.84亿) 温和启动(涨6.6%)
140233,10,002185,华天科技,0.4689,7.07,-0.16,负,541571200.0,6.99,0.738,0.844,主力大幅介入(超大单3.9亿) 板块刚启动(半导体)
141251,1,002456,欧菲光,0.6877,2.88,-0.1,负,183854099.0,14.97,0.868,0.85,主力大幅介入(超大单1.6亿) 板块刚启动(光学光电子)
141251,2,603228,景旺电子,0.6775,1.86,0.5,胜,219975536.0,6.51,0.73,0.764,主力大幅介入(超大单1.5亿) 板块刚启动(元件)
141251,3,603936,博敏电子,0.6546,4.45,0.91,胜,154697770.0,10.75,0.73,0.769,主力大幅介入(超大单0.8亿) 板块刚启动(元件)
