代码,名称,最新价,涨跌幅,主力净流入,主力占比,超大单净流入,超大单占比,大单净流入,大单占比,中单净流入,中单占比,小单净流入,小单占比,5日主力净流入,10日主力净流入
BK0637,互联网金融,5065.77,3.69,13366878976.0,6.22,11098908416.0,5.17,2267970560.0,1.06,-5867372544.0,-2.73,-7441610240.0,-3.46,-3141719552.0,-3367756544.0
BK0695,小金属概念,5068.19,4.91,13016570112.0,5.08,11278363904.0,4.4,1738206208.0,0.68,-5007781888.0,-1.95,-7993930496.0,-3.12,3594063872.0,12771201792.0
BK1714,金融地产风格,1037.2,3.65,12310642432.0,8.1,10329360896.0,6.8,1981281536.0,1.3,-5339749120.0,-3.51,-6970893312.0,-4.59,-2681216768.0,4264106496.0
BK0711,券商概念,1105.24,6.5,12140794624.0,11.21,10253108736.0,9.47,1887685888.0,1.74,-5225360128.0,-4.82,-6915434496.0,-6.39,5189477888.0,6151654656.0
BK0519,稀缺资源,39497.95,4.6,10021796352.0,5.93,8192555008.0,4.84,1829241344.0,1.08,-3596775424.0,-2.13,-6425020928.0,-3.8,-2342061056.0,-1703759104.0
BK0718,证金持股,1360.2,1.79,9750244096.0,3.23,9041283840.0,2.99,708960256.0,0.23,-5795258368.0,-1.92,-3954984704.0,-1.31,-14589844736.0,-34744924928.0
BK0524,参股期货,31307.26,3.93,8104523520.0,12.05,6756892928.0,10.05,1347630592.0,2.0,-3052564224.0,-4.54,-5051959296.0,-7.51,3333130496.0,2454899008.0
BK1629,AI应用,767.66,1.71,7282664192.0,4.91,6015354112.0,4.05,1267310080.0,0.85,-3485920512.0,-2.35,-3718936320.0,-2.51,2935478784.0,-12156265984.0
BK0523,新材料,46352.15,2.39,7090544640.0,1.33,7039201280.0,1.32,51343360.0,0.01,-4079562752.0,-0.76,-2974982144.0,-0.56,12826326784.0,-1447522304.0
BK0696,国产软件,3413.93,1.87,6012215808.0,4.23,5751004928.0,4.04,261210880.0,0.18,-2253938944.0,-1.58,-3581693440.0,-2.52,1739097088.0,-13617886208.0
BK1639,周期股,985.08,3.57,6007099392.0,1.23,7650029568.0,1.57,-1642930176.0,-0.34,-4752654336.0,-0.97,-1254440960.0,-0.26,-11425366016.0,-40061090816.0
BK1135,数据要素,1186.97,1.54,5979769856.0,5.76,4978733568.0,4.8,1001036288.0,0.96,-2422319360.0,-2.33,-3534166528.0,-3.41,4276548096.0,-2326518272.0
BK1111,AIGC概念,1998.97,1.82,5740883712.0,5.3,5024093184.0,4.64,716790528.0,0.66,-3091790336.0,-2.85,-2650705408.0,-2.45,3768800256.0,-5062930432.0
BK0547,黄金概念,20515.07,3.36,5662810880.0,5.68,3697699584.0,3.71,1965111296.0,1.97,-1450497536.0,-1.46,-4212313344.0,-4.23,2179299840.0,-1534625024.0
BK0953,鸿蒙概念,1526.15,2.03,5351668224.0,5.39,4266774528.0,4.3,1084893696.0,1.09,-2626042368.0,-2.65,-2661998080.0,-2.68,3056265472.0,-5990304816.0
BK0574,锂电池概念,4935.25,2.03,5266948096.0,0.98,5817950208.0,1.09,-551002112.0,-0.1,-2527420416.0,-0.47,-2517778432.0,-0.47,-9576691968.0,-8350223104.0
BK0968,固态电池,3061.37,2.17,4873105664.0,1.43,3242971392.0,0.95,1630134272.0,0.48,-1472495616.0,-0.43,-3312939008.0,-0.97,-3467254016.0,-10742678784.0
BK0525,参股银行,11699.49,1.26,4865806848.0,3.0,2925481472.0,1.81,1940325376.0,1.2,-2171836672.0,-1.34,-2692394752.0,-1.66,-8700026112.0,-13190130944.0
BK0940,网红经济,693.97,1.29,4789318656.0,7.75,3764499968.0,6.09,1024818688.0,1.66,-1753347072.0,-2.84,-3035026944.0,-4.91,1111394464.0,-5256056224.0
BK0918,特高压,3083.37,2.0,4784125440.0,4.02,4327426816.0,3.63,456698624.0,0.38,-2142415104.0,-1.8,-2646353408.0,-2.22,4341692672.0,-11683110912.0
BK0999,茅指数,706.48,2.13,4678074368.0,2.48,4602771712.0,2.44,75302656.0,0.04,-3667716352.0,-1.95,-1010357760.0,-0.54,-6889071616.0,-19849413632.0
BK1010,磷化工,1064.23,6.7,4668133120.0,8.99,3335940864.0,6.43,1332192256.0,2.57,-1309612032.0,-2.52,-3295568128.0,-6.35,3500601600.0,5123416256.0
BK0447,互联网服务,30032.22,1.66,4505197568.0,4.57,3274576640.0,3.32,1230620928.0,1.25,-1542936576.0,-1.57,-2956167936.0,-3.0,6088476416.0,-3213379840.0
BK0499,AH股,9357.6,1.57,4375232512.0,1.0,4424757248.0,1.01,-49524736.0,-0.01,-3097198592.0,-0.71,-1278033920.0,-0.29,-6378889216.0,-31992371200.0
BK1190,虚拟机器人,1464.9,4.78,4308869888.0,7.87,3779848960.0,6.9,529020928.0,0.97,-1660841216.0,-3.03,-2647361024.0,-4.83,3618410736.0,-753230064.0
BK1107,科创板做市商,1466.58,6.99,4250681600.0,10.81,3732523264.0,9.49,518158336.0,1.32,-2219118080.0,-5.64,-2031563520.0,-5.17,816946240.0,3382291552.0
BK0611,上证50_,2112.1,2.9,4158304256.0,1.35,1417990144.0,0.46,2740314112.0,0.89,-1085333504.0,-0.35,-3072970752.0,-1.0,-5803573760.0,-9110960896.0
BK0690,氟化工概念,6984.31,4.94,4140202240.0,4.57,4168848896.0,4.61,-28646656.0,-0.03,-1643409408.0,-1.82,-2496792832.0,-2.76,-361336576.0,-796350720.0
BK0612,上证180_,1761.5,2.4,4047806464.0,0.67,3331473408.0,0.55,716333056.0,0.12,-2544758784.0,-0.42,-1503043584.0,-0.25,-11491819520.0,-31292080384.0
BK0590,西部大开发,3441.3,0.9,3965625600.0,1.05,4515329280.0,1.19,-549703680.0,-0.15,-1792073728.0,-0.47,-2155962368.0,-0.57,-18447721984.0,-33771520512.0
BK0988,钠离子电池,1959.85,2.54,3827758848.0,3.75,3441812992.0,3.37,385945856.0,0.38,-1252092928.0,-1.23,-2559946240.0,-2.5,229855488.0,-3651229440.0
BK0864,氢能源,1600.41,1.24,3695729152.0,1.84,3999541760.0,1.99,-303812608.0,-0.15,-3077140224.0,-1.53,-548062464.0,-0.27,-3276821248.0,-15132584448.0
BK0512,化工原料,29902.65,3.93,3452063488.0,5.23,3387154688.0,5.13,64908800.0,0.1,-1718738688.0,-2.6,-1733325056.0,-2.62,-1980720128.0,-793618656.0
BK1647,电网概念,904.21,1.6,3444457472.0,1.83,3424619776.0,1.81,19837696.0,0.01,-1858328064.0,-0.98,-1581166080.0,-0.84,1982188288.0,-20351165440.0
BK1112,破净股,1363.92,1.0,3267329024.0,2.58,2629798912.0,2.08,637530112.0,0.5,-2068006144.0,-1.63,-1201769472.0,-0.95,-11266611200.0,-11113555200.0
BK1648,电池技术,1053.23,1.66,3204784128.0,0.46,3921915904.0,0.56,-717131776.0,-0.1,-1433513984.0,-0.2,-1570004992.0,-0.22,-13080985600.0,-24116798464.0
BK0830,区块链,1086.19,1.84,3198810880.0,1.58,2570031360.0,1.27,628779520.0,0.31,-2087373824.0,-1.03,-1106994176.0,-0.55,1032278784.0,-16559741952.0
BK1052,动力电池回收,1054.73,3.09,3171542784.0,3.56,2661481472.0,2.99,510061312.0,0.57,-1264627968.0,-1.42,-1902552832.0,-2.13,-1789027584.0,-803335680.0
BK0634,大数据,5353.82,1.62,3014219520.0,1.02,2713466624.0,0.92,300752896.0,0.1,-2847281152.0,-0.96,-124420096.0,-0.04,9815741696.0,-18437558016.0
BK1662,权重股,1049.46,2.25,2836545536.0,0.78,-868163584.0,-0.24,3704709120.0,1.02,-626151424.0,-0.17,-2210393600.0,-0.61,-233067264.0,-21479362560.0
BK0601,海工装备,2437.28,1.31,2716726016.0,2.7,2867340800.0,2.85,-150614784.0,-0.15,-2620393216.0,-2.6,-90033152.0,-0.09,1790786816.0,-10500546048.0
BK0581,智能电网,2262.4,1.7,2669870336.0,1.94,2230639104.0,1.62,439231232.0,0.32,-1084451072.0,-0.79,-1583167744.0,-1.15,-852537344.0,-16463920640.0
BK1670,中盘价值,945.47,1.85,2564754432.0,2.51,3150156288.0,3.08,-585401856.0,-0.57,-1937160448.0,-1.89,-601692160.0,-0.59,-9653066752.0,-8756509696.0
BK0578,稀土永磁,4119.87,2.59,2419784192.0,2.51,2901145344.0,3.01,-481361152.0,-0.5,-1441104640.0,-1.5,-930120960.0,-0.97,2731288064.0,5680718336.0
BK0712,一带一路,1586.94,0.7,2417252096.0,0.76,2346432256.0,0.73,70819840.0,0.02,-2183368704.0,-0.68,-216731648.0,-0.07,243333376.0,-27350547712.0
BK1104,信创,1852.44,1.92,2346306304.0,1.15,1193975040.0,0.58,1152331264.0,0.56,-702985472.0,-0.34,-1556430336.0,-0.76,9118295808.0,-1604463872.0
BK1666,大盘价值,937.38,2.09,2304114432.0,1.13,2892796928.0,1.42,-588682496.0,-0.29,-1617715456.0,-0.79,-686398976.0,-0.34,-23471348224.0,-30465370368.0
BK0595,风能,2849.96,0.86,2207518464.0,0.93,3213109504.0,1.36,-1005591040.0,-0.42,-2984254208.0,-1.26,726632960.0,0.31,-8648641024.0,-29730707456.0
BK1023,培育钻石,3476.72,8.76,2138785792.0,8.05,2168254720.0,8.16,-29468928.0,-0.11,-1019273472.0,-3.84,-898899712.0,-3.38,3840586928.0,2499824976.0
BK0922,数据中心,2266.07,1.1,2130189824.0,0.66,278093312.0,0.09,1852096512.0,0.57,-2399186944.0,-0.74,258240512.0,0.08,9024606464.0,-25218403584.0
BK0514,参股券商,13941.24,1.45,2108051200.0,2.39,1425018368.0,1.62,683032832.0,0.78,-794748672.0,-0.9,-1313302528.0,-1.49,-1703386624.0,-6991070208.0
BK0961,有机硅概念,2106.26,2.59,2095752960.0,6.19,1556214784.0,4.6,539538176.0,1.59,-749411328.0,-2.21,-1368060160.0,-4.04,132962688.0,603469424.0
BK0879,标准普尔,1709.33,1.38,2065170432.0,0.16,7231459328.0,0.55,-5166288896.0,-0.4,-9358983168.0,-0.72,7293816832.0,0.56,-32858812416.0,-123721519104.0
BK0577,核能核电,2991.42,0.89,2062837248.0,1.52,2655933184.0,1.95,-593095936.0,-0.44,-2033977344.0,-1.5,-31246336.0,-0.02,-2105476864.0,-13275817472.0
BK0505,中字头,8946.52,1.86,1965858816.0,1.71,2687271936.0,2.34,-721413120.0,-0.63,-967260416.0,-0.84,-990630912.0,-0.86,-4560047616.0,-11025488896.0
BK0662,在线教育,1970.62,0.97,1930378240.0,3.14,1274802688.0,2.07,655575552.0,1.07,-815939840.0,-1.33,-1104718336.0,-1.8,919851216.0,-8882573872.0
BK0977,碳化硅,2700.16,4.65,1921175296.0,1.83,2378823680.0,2.27,-457648384.0,-0.44,-2006933504.0,-1.91,125452800.0,0.12,5655103488.0,-1163863296.0
