代码,名称,最新价,涨跌幅,成交量,成交额,换手率,量比,最高,最低,开盘,昨收,总市值,主力净流入,主力占比,超大单净流入,超大单占比,大单净流入,大单占比,中单净流入,中单占比,小单净流入,小单占比,5日主力净流入,5日主力占比,5日超大买入,5日超大卖出,融资净买入,融资净买入占比,融券净卖出,融券卖出量,10日主力净流入,10日主力占比,行业
300059,东方财富,20.97,12.74,11039470,21981018560.97,8.27,2.55,20.97,18.45,18.45,18.6,331791531379,3671633152.0,16.7,3121879552.0,14.2,549753600.0,2.5,-1386059520.0,-6.31,-2285573536.0,-10.4,3161199696.0,5.86,3014114544.0,5.59,147085152.0,0.27,-1588291488.0,-1572908128.0,1342373344.0,1.65,证券Ⅱ
600030,中信证券,28.64,7.83,5270852,14693428354.0,4.33,2.25,28.72,26.38,26.45,26.56,424460461183,1863331280.0,12.68,1701565312.0,11.58,161765968.0,1.1,-865215152.0,-5.89,-998116096.0,-6.79,1188625920.0,3.04,1429166448.0,3.65,-240540528.0,-0.61,-1221243984.0,32618064.0,2100229664.0,3.41,证券Ⅱ
603993,洛阳钼业,21.65,8.03,6947284,14563357591.0,3.98,1.39,21.74,19.64,20.22,20.04,463186815310,1846952688.0,12.68,1391081088.0,9.55,455871600.0,3.13,-275461152.0,-1.89,-1571491536.0,-10.79,1642167872.0,2.92,1544552144.0,2.75,97615728.0,0.17,-923181920.0,-718986032.0,2149453584.0,2.61,工业金属
600584,长电科技,91.33,10.0,2372194,20917975491.0,13.26,1.17,91.33,85.6,85.88,83.03,163427232678,1599341056.0,7.65,2267829248.0,10.84,-668488192.0,-3.2,-971847680.0,-4.65,-627493504.0,-3.0,2696137360.0,3.13,2932716128.0,3.41,-236578768.0,-0.27,-870687968.0,-1825449120.0,-996374288.0,-0.69,半导体
300274,阳光电源,163.46,11.21,1139215,18215161190.0,7.18,1.7,167.15,149.06,149.5,146.98,338887139367,1272633408.0,6.99,1418316608.0,7.79,-145683200.0,-0.8,-805922048.0,-4.42,-466711328.0,-2.56,-275011744.0,-0.5,251886832.0,0.45,-526898576.0,-0.95,303339584.0,-28327824.0,-510030112.0,-0.49,光伏设备
600111,北方稀土,54.15,5.35,2463860,13073459531.0,6.82,1.55,54.15,51.39,52.0,51.4,195755815344,1225863040.0,9.38,1251859984.0,9.58,-25996944.0,-0.2,-635211552.0,-4.86,-590651472.0,-4.52,896610784.0,1.95,1288126240.0,2.8,-391515456.0,-0.85,-529526336.0,-367084448.0,867343216.0,1.24,小金属
601179,中国西电,16.79,10.03,2592730,4176557045.0,5.06,1.15,16.79,15.24,15.32,15.26,86063564690,1147467552.0,27.47,1278024832.0,30.6,-130557280.0,-3.13,-482746736.0,-11.56,-664720800.0,-15.92,1616555200.0,8.16,2359507248.0,11.91,-742952048.0,-3.75,-1245037232.0,-371517952.0,925059055.0,3.27,电网设备
601869,长飞光纤,518.71,10.0,84661,4335875886.0,2.08,0.57,518.71,490.1,494.78,471.55,429442658571,1078186768.0,24.87,1399981312.0,32.29,-321794544.0,-7.42,-1077811920.0,-24.86,-374850.0,-0.01,843849632.0,2.69,1784425376.0,5.7,-940575744.0,-3.0,-841236192.0,-2613411.0,209176080.0,0.31,通信设备
002407,多氟多,42.66,10.01,1937504,7905671481.53,17.96,0.91,42.66,39.01,39.01,38.78,50783853394,973980128.0,12.32,1066925792.0,13.5,-92945664.0,-1.18,-439249456.0,-5.56,-534730640.0,-6.76,-444431840.0,-1.15,358680656.0,0.92,-803112496.0,-2.07,-582150608.0,1026582464.0,-192356960.0,-0.27,化学制品
000063,中兴通讯,39.43,4.06,2936034,11394972116.23,7.29,1.44,39.66,37.89,38.07,37.89,188614780594,872922624.0,7.66,689464960.0,6.05,183457664.0,1.61,-382711584.0,-3.36,-490211024.0,-4.3,1317520320.0,3.31,1199303808.0,3.02,118216512.0,0.3,-847018512.0,-470501760.0,-2074976288.0,-2.22,通信设备
