代码,名称,最新价,综合得分,资金得分,趋势得分,启动得分,板块得分,位置得分,分析师得分,多日得分,技术面得分,行业内得分,融资得分,加速度得分,占比趋势得分,涨跌幅,换手率,量比,总市值,触发信号
300738,奥飞数据,22.0,0.6426,0.959,0.825,0.548,0.682,0.386,0.5,0.972,0.5,1.0,0.97,0.904,0.05,4.17,9.27,1.75,216.74191858,P32_ratio_accel
002326,永太科技,24.86,0.6401,0.964,0.814,0.674,0.815,0.361,0.5,0.938,0.5,1.0,0.189,1.0,0.05,7.11,10.23,2.11,229.98673031,P32_ratio_accel
300014,亿纬锂能,70.23,0.6363,0.953,0.804,0.592,0.787,0.199,0.5,0.983,0.5,1.0,0.854,1.0,0.05,5.36,7.08,1.4,1526.30643745,P32_ratio_accel
002028,思源电气,201.2,0.6358,0.959,0.641,0.586,0.829,0.37,0.5,0.977,0.5,0.958,0.967,1.0,0.05,5.78,2.92,1.45,1574.29177818,P32_ratio_accel
300041,回天新材,15.25,0.6294,0.935,0.793,0.615,0.815,0.15,0.5,0.915,0.5,0.955,0.939,1.0,0.05,5.17,12.99,1.35,85.3137977,P32_ratio_accel
000063,中兴通讯,39.43,0.6287,0.957,0.812,0.713,0.528,0.323,0.5,0.697,0.5,1.0,0.938,0.7,0.05,4.06,7.29,1.44,1886.14780594,P32_ratio_accel
601126,四方股份,77.81,0.6281,0.938,0.825,0.794,0.829,0.405,0.5,0.985,0.5,0.944,0.917,1.0,0.0,4.26,6.78,1.52,648.23938955,
600410,华胜天成,19.3,0.6217,0.968,0.755,0.496,0.752,0.376,0.5,0.94,0.5,0.986,0.819,0.673,0.05,7.7,13.55,2.67,211.62347382,P32_ratio_accel
300468,四方精创,24.64,0.6207,0.865,0.786,0.641,0.822,0.243,0.5,0.893,0.5,0.886,0.911,1.0,0.05,6.07,8.25,1.32,130.75198136,P32_ratio_accel
600111,北方稀土,54.15,0.6178,0.974,0.825,0.64,0.836,0.15,0.5,0.992,0.5,1.0,0.019,0.734,0.05,5.35,6.82,1.55,1957.55815344,P32_ratio_accel
000519,中兵红箭,22.37,0.6174,0.98,0.575,0.635,0.71,0.15,0.5,0.986,0.5,1.0,0.976,0.835,0.05,9.98,13.28,2.14,311.51544427,P32_ratio_accel
600666,奥瑞德,4.72,0.6167,0.859,0.825,0.777,0.528,0.438,0.5,0.852,0.5,0.825,0.292,1.0,0.05,3.74,8.88,1.74,129.862181,P32_ratio_accel
000426,兴业银锡,43.01,0.6164,0.921,0.645,0.72,0.738,0.162,0.5,0.935,0.5,0.857,0.823,1.0,0.05,8.69,6.33,1.45,763.70093134,P32_ratio_accel
300058,蓝色光标,16.02,0.6161,0.951,0.825,0.778,0.759,0.258,0.5,0.653,0.5,1.0,0.087,0.7,0.05,5.05,11.49,1.71,575.15344057,P32_ratio_accel
688328,深科达,81.83,0.6159,0.789,0.825,0.67,0.528,0.475,0.5,0.865,0.5,0.929,0.921,1.0,0.05,4.91,9.62,1.54,77.2935862,P32_ratio_accel
300782,卓胜微,112.38,0.6142,0.966,0.825,0.883,0.528,0.15,0.5,0.95,0.5,0.99,0.996,1.0,0.0,5.92,10.28,1.65,646.17037487,
002552,宝鼎科技,76.68,0.6102,0.943,0.81,0.396,0.528,0.447,0.5,0.945,0.5,0.923,0.974,0.902,0.05,5.93,5.07,1.43,297.50715181,P32_ratio_accel
688811,有研复材,31.97,0.6053,0.882,0.408,0.912,0.745,0.45,0.5,0.739,0.5,0.731,0.535,1.0,0.05,8.67,22.43,1.07,160.38505152,P32_ratio_accel
