代码,名称,综合得分,选股日价格,次日开盘价,次日收益%,胜负
300136,信维通信,0.7362,105.56,102.5,-2.9,负
002049,紫光国微,0.7115,80.0,79.9,-0.12,负
300373,扬杰科技,0.7077,114.1,113.5,-0.53,负
002185,华天科技,0.7074,19.05,19.3,1.31,胜
600172,黄河旋风,0.706,13.3,13.8,3.76,胜
688362,甬矽电子,0.7,69.4,68.4,-1.44,负
300458,全志科技,0.6947,35.16,35.28,0.34,胜
688260,昀冢科技,0.694,123.61,120.83,-2.25,负
688385,复旦微电,0.6923,59.01,59.36,0.59,胜
688525,佰维存储,0.6893,370.0,363.0,-1.89,负
300223,北京君正,0.687,171.7,172.66,0.56,胜
688820,盛合晶微,0.6866,181.87,180.0,-1.03,负
688981,中芯国际,0.6861,134.7,136.11,1.05,胜
688008,澜起科技,0.6859,262.5,260.0,-0.95,负
300179,四方达,0.685,45.38,46.75,3.02,胜
600584,长电科技,0.6835,81.76,81.89,0.16,胜
002156,通富微电,0.6821,67.22,66.99,-0.34,负
300456,赛微电子,0.681,42.68,42.33,-0.82,负
002171,楚江新材,0.6785,15.0,14.85,-1.0,负
688308,欧科亿,0.6782,174.47,170.28,-2.4,负
688037,芯源微,0.6774,287.3,284.58,-0.95,负
688403,汇成股份,0.6773,28.82,29.88,3.68,胜
002241,歌尔股份,0.6771,23.68,23.5,-0.76,负
000021,深科技,0.6754,42.91,42.85,-0.14,负
688234,天岳先进,0.6748,149.66,150.98,0.88,胜
603595,ST东尼,0.6747,27.59,27.59,0.0,平
688535,华海诚科,0.6735,133.97,129.97,-2.99,负
001267,汇绿生态,0.6721,54.96,54.63,-0.6,负
300433,蓝思科技,0.6718,51.21,51.24,0.06,胜
605100,华丰股份,0.67,37.26,37.26,0.0,平
603296,DR华勤技,0.6695,79.46,78.97,-0.62,负
301297,富乐德,0.6694,49.2,49.96,1.54,胜
688213,思特威-W,0.6676,101.93,101.97,0.04,胜
