日期,总股票,全市场均收益,全市场胜率,Top50均收益,Top50胜率,随机50均收益,随机50胜率,因子区分度,D1均收益,D10均收益
20260617,5101,-0.423,0.213,-0.484,0.3,-0.296,0.26,-0.113,-0.461,-0.345
20260618,5113,-0.089,0.324,0.825,0.66,0.202,0.34,1.183,0.522,-0.464
20260618,662,0.488,0.476,1.49,0.62,0.377,0.44,1.448,1.488,-0.022
20260622,5047,-0.338,0.221,-0.04,0.26,-0.465,0.14,0.633,-0.31,-0.465
20260622,5047,-0.338,0.221,0.152,0.32,-0.171,0.2,0.825,-0.279,-0.465
20260622,5047,-0.338,0.221,0.152,0.32,-0.171,0.2,0.825,-0.279,-0.465
20260622,5047,-0.338,0.221,0.074,0.32,-0.104,0.3,0.79,-0.305,-0.496
20260622,5047,-0.338,0.221,-0.058,0.3,-0.242,0.18,0.67,-0.171,-0.562
20260623,4570,-1.48,0.132,-2.727,0.08,-1.23,0.16,-1.466,-2.129,-1.345
20260623,4570,-1.48,0.132,-2.727,0.08,-1.23,0.16,-1.466,-2.129,-1.345
20260623,4570,-1.48,0.132,-2.727,0.08,-1.23,0.16,-1.466,-2.129,-1.345
20260623,4570,-1.48,0.132,-2.727,0.08,-1.23,0.16,-1.466,-2.129,-1.345
20260623,4570,-1.48,0.132,-2.727,0.08,-1.23,0.16,-1.466,-2.129,-1.345
20260623,4570,-1.48,0.132,-2.727,0.08,-1.23,0.16,-1.466,-2.129,-1.345
20260617,621,-0.327,0.248,-0.128,0.38,-0.399,0.22,0.393,-0.059,-0.466
20260622,5047,-0.338,0.221,-0.066,0.32,-0.345,0.18,0.521,-0.16,-0.423
20260623,5207,-0.353,0.295,-0.535,0.26,-0.113,0.38,-0.363,-0.559,-0.403
